product_id,spec_name,spec_value
1,CPU,"Intel Core Ultra 7 155H (P-core 1.4 GHz up to 4.8 GHz, E-core 900 MHz up to 3.8 GHz, 24 MB L3 cache, 16 cores, 22 threads)"
1,RAM,16GB LPDDR5x 7467 MHz RAM (Onboard)
1,Ổ cứng,1TB PCIe® Gen4 NVMe™ Performance M.2 SSD
1,Card đồ họa,"NVIDIA® GeForce RTX™ 4060 8GB GDDR6
AI TOPs: 233 TOPs"
1,Màn hình,"14"" 2.8K (2880 x 1800), OLED, 120Hz, 0.2ms, UWVA, edge-to-edge glass, micro-edge, Low Blue Light, SDR 400 nits, HDR 500 nits, 100% DCI-P3"
1,Cổng kết nối,"1x USB Type-A 10Gbps signaling rate (HP Sleep and Charge)
1x USB Type-A 10Gbps signaling rate 
1x HDMI 2.1; 1 headphone/microphone combo 
1x Thunderbolt™ 4 with USB Type-C® 40Gbps signaling rate (USB Power Delivery, DisplayPort™ 2.1, HP Sleep and Charge)
1x USB Type-C® 10Gbps signaling rate (USB Power Delivery, DisplayPort™ 1.4a, HP Sleep and Charge) "
1,Bàn phím,"Full-size, 4-zone RGB backlit, ceramic white keyboard and 26-Key Rollover Anti-Ghosting Key technology"
1,Audio,DTS:X® Ultra; HyperX; Dual speakers; HP Audio Boost
1,Chuẩn Lan,None
1,Wifi + Bluetooth,Intel® Wi-Fi 6E AX211 (2x2)
1,Webcam,HP True Vision 1080p FHD IR camera with temporal noise reduction and integrated dual array digital microphones
1,Hệ điều hành    ,Windows 11 Home
1,Pin,6 Cell 71WHr
1,Trọng lượng,1.63 kg 
1,Màu sắc,Ceramic white aluminum
1,Kích thước    ,31.3 x 23.35 x 1.69 cm
3,CPU,"Intel® Core™ Ultra 7 Processor 258V 32GB 1.8 GHz (12MB Cache, up to 4.8 GHz, 8 cores, 8 Threads)
Intel® AI Boost NPU up to 47 TOPS"
3,RAM,32GB LPDDR5 8533 MT/s Onboard
3,Ổ cứng,"1TB NVMe PCIe Gen 4 SSD chuẩn EVO (1 khe SSD, Hỗ trợ nâng cấp tối đa 2TB)"
3,Card đồ họa,Intel® Arc™ Graphics 140V
3,Màn hình,"14"" 3K (2880x1800) OLED SlimBezel, HDR 550 nits (400 native), DCI-P3 100% / Adobe100%, 90Hz"
3,Cổng giao tiếp,"USB Type-C
2x USB Type-C™ ports
1x USB Type-C™ port supporting:
• USB4® 40Gbps
• DisplayPort over USB-C
• Thunderbolt™ 4
• USB charging 5 V; 3 A
• DC-in port 20 V; 65 W
USB Standard A
2x USB Standard-A ports, supporting:
• One port for USB 3.2 Gen 1
• One port for USB 3.2 Gen 1 featuring power off USB charging
1x HDMI® 2.1 port with HDCP support
1x Headphone/speaker jack"
3,Audio,"DTS® X:Ultra Audio, featuring optimized Bass, Loudness, Speaker"
3,Bàn phím,"Có LED trắng, bảo mật vân tay"
3,Bảo mật,"Firmware Trusted Platform Module (TPM) solution 
BIOS user, supervisor passwords"
3,Chuẩn WIFI,Killer™ Wi-Fi 7 Wireless LAN
3,Bluetooth,v5.4
3,Webcam,1440p QHD video at 30 fps with Temporal Noise Reduction
3,Hệ điều hành,Windows 11 Home Single Language
3,Trọng lượng,1.26 kg
3,Pin,3 Cell 65Whrs
3,Màu sắc,Steam Blue
3,Chất liệu,"Cover A, C, D: Aluminum 
Cover B: ABS Plastic"
3,Kích thước,312.4 (W) x 221.2 (D) x 9.7/15.95 (H) mm
4,CPU,"Intel® Core™ Ultra 5 Processor 226V 16GB 1.6 GHz (8MB Cache, up to 4.5 GHz, 8 cores, 8 Threads); Intel® AI Boost NPU up to 40 TOPS"
4,RAM,16GB LPDDR5 8533 MT/s Onboard
4,Ổ cứng,"1TB NVMe PCIe Gen 4 SSD chuẩn EVO (1 khe SSD, Hỗ trợ nâng cấp tối đa 2TB)"
4,Card đồ họa,Intel® Arc™ Graphics 130V
4,Màn hình,"14"" 3K (2880 x 1800) OLED SlimBezel, HDR 550 nits (400 native), DCI-P3 100% / Adobe100%, 90Hz"
4,Cổng giao tiếp,"USB Type-C
2x USB Type-C™ ports
1x USB Type-C™ port supporting:
• USB4® 40Gbps
• DisplayPort over USB-C
• Thunderbolt™ 4
• USB charging 5 V; 3 A
• DC-in port 20 V; 65 W
USB Standard A
2x USB Standard-A ports, supporting:
• One port for USB 3.2 Gen 1
• One port for USB 3.2 Gen 1 featuring power off USB charging
1x HDMI® 2.1 port with HDCP support
1x Headphone/speaker jack"
4,Audio,"DTS® X:Ultra Audio, featuring optimized Bass, Loudness, Speaker"
4,Bàn phím,"Có LED trắng, bảo mật vân tay"
4,Bảo mật,"Firmware Trusted Platform Module (TPM) solution 
BIOS user, supervisor passwords"
4,Chuẩn WIFI,Killer™ Wi-Fi 7 Wireless LAN
4,Bluetooth,v5.4
4,Webcam,1440p QHD video at 30 fps with Temporal Noise Reduction
4,Hệ điều hành,Windows 11 Home Single Language
4,Trọng lượng,1.26 kg
4,Pin,3 Cell 65Whrs
4,Màu sắc,Steam Blue
4,Chất liệu,"Cover A, C, D: Aluminum 
Cover B: ABS Plastic"
4,Kích thước,312.4 (W) x 221.2 (D) x 9.7/15.95 (H) mm
5,CPU,"Intel Core i9-14900HX (up to 5.80GHz, 36MB Cache)"
5,RAM,"16GB (2x8GB) DDR5 5600MHz (2x SO-DIMM socket, up to 96GB SDRAM)"
5,Ổ lưu trữ,1TB NVMe PCIe SSD Gen4x4 w/o DRAM (2x M.2 SSD slot)
5,Card đồ họa,"NVIDIA® GeForce RTX™ 4060 Laptop GPU 8GB GDDR6 powers advanced AI with 233 AI TOPS
Up to 2370MHz Boost Clock 140W Maximum Graphics Power with Dynamic Boost."
5,Màn hình,"16.0 inch QHD+ (2560x1600) 16:10, IPS 240Hz, 100% DCI-P3 (Typ.)"
5,Cổng giao tiếp,"x Type-C (USB3.2 Gen2 / DisplayPort™/ Power Delivery 3.0)
3x Type-A USB3.2 Gen1
1x HDMI™ 2.1 (8K @ 60Hz / 4K @ 120Hz)
1x RJ45"
5,Bàn phím,24-Zone RGB Gaming Keyboard with Copilot Key
5,Audio,Sound by Dynaudio and High-Resolution Audio ready (2x 2W Speaker)
5,Đọc thẻ nhớ,None
5,Kết nối có dây (LAN),Gb LAN
5,Kết nối không dây,802.11 ax Wi-Fi 6E + Bluetooth v5.3
5,Webcam,"HD type (30fps@720p), 3D Noise Reduction (3DNR)"
5,Pin,4-Cell 90Whr Battery (Whr)
5,Trọng lượng,2.5 kg
5,Hệ điều hành,Windows 11 Home
5,Màu sắc,Cosmos Gray
5,Kích thước,359 x 266.4 x 21.8-27.9 mm
6,CPU,"Intel® Core™ i5-11320H upto 4.5GHz, 8MB Cache"
6,RAM,16GB LPDDR4X 4266MHz Onboard (Không nâng cấp)
6,Ổ lưu trữ:,512GB SSD M.2 PCIE Gen3x4 (2 slots SSD M2 PCIe)
6,Card đồ họa,"NVIDIA® GeForce RTX™ 3050 with 4GB of dedicated GDDR6 VRAM
AI TOPs: 143 TOPs"
6,Màn hình,"16.1"" FHD (1920 x 1080) IPS SlimBezel, 60Hz, Acer ComfyView LED-backlit TFT LCD"
6,Cổng kết nối,"2 x USB 3.2 Gen 1 ports with one featuring power-off USB charging
1 x HDMI® 2.0 port with HDCP support
1 x 3.5 mm headphone/speaker jack, supporting headsets with built-in microphone
1 x DC-in jack for AC adapter
1 x USB Type-C port supporting"
6,Bàn phím,"Có led, có bàn phím số"
6,Audio,"DTS® Audio, featuring optimized bass response and micro-speaker
distortion prevention"
6, Bảo mật,Vân tay
6,Đọc thẻ nhớ,None
6,LAN,None
6,Wifi + Bluetooth,"Intel® Wireless Wi-Fi 6 AX201 (2x2), Bluetooth v5.1"
6,Webcam,HD Webcam (1280 x 720)
6,Hệ điều hành,Windows 11 Home
6,Pin,59Wh Li-ion battery
6,Trọng lượng,1.9 kg
6,Màu sắc,Steel Gray
6,Chất liệu,"Cover A: nhôm
Cover B: nhựa
Cover C: nhôm
Cover D: nhôm"
6,Kích thước,367.8 x 236.1 x 18.9  mm
7,CPU,"Intel® Core™ i5-13500H upto 4.70 GHz, 12 cores 16 threads, 18 MB Intel® Smart Cache"
7,RAM,16GB (1x16GB) LPDDR5 4800MHz Onboard (Không nâng cấp được)
7,Ổ cứng,"512GB PCIe NVMe SED SSD (1 khe đã cắm sẵn 512GB, nân cấp tối đã 1TB)"
7,Card đồ họa,Intel® Iris® Xe Graphics
7,Màn hình,"14"" 2.8K OLED WQXGA+ (2880 x 1800) SlimBezel, 90Hz, 400 nits, DCI-P3 100%"
7,Cổng giao tiếp,"2 x USB Type-C™ ports supporting:
• USB4® 40Gbps
• Thunderbolt™ 4
• USB charging 5 V; 3 A
• DC-in port 20 V; 100 W

2 x USB Standard-A ports, supporting:
• One port for USB 3.2 Gen 1
• One port for USB 3.2 Gen 1 featuring power off USB charging

1 x HDMI® 2.1 port with HDCP support
1 x Headphone/speaker jack
1 x microSD™ Card reader"""
7,Audio,Acer TrueHarmony technology
7,Bàn phím,"Có LED, Đơn sắc - Trắng"
7,Bảo mật,Power keycap fingerprint reader with on-chip matching design
7,Chuẩn WIFI,"• Killer™ Wireless Wi-Fi 6E 1675i
 • 802.11 a/b/g/n/ac/ax/be
 • Band: 2.4 GHz, 5 GHz, and 6 GHz
 • 2x2 MIMO technology"
7,Bluetooth,v5.3
7,Webcam,"2560 x 1440 resolution
1440p QHD video at 30 fps with Temporal"
7,Hệ điều hành,Windows 11 Home Single Language
7,Trọng lượng,1.3 kg
7,Pin,65 Whr 4-cell 
7,Màu sắc,Sunshiny Gold
7,Chất liệu,"Cover A/C/D: Aluminum
Cover B: Nhựa"
7,Kích thước,312.9 (W) x 217.9 (D) x 14.9 (H) mm
8,CPU,"Intel® Core™ i7-13650HX, 14C (6P + 8E) / 20T, P-core 2.6 / 4.9GHz, E-core 1.9 / 3.6GHz, 24MB"
8,RAM,"24GB (2x12GB) DDR5-4800 SO-DIMM (2x SO-DIMM socket, up to 32GB SDRAM)"
8,Ổ cứng,512GB SSD M.2 2242 PCIe 4.0x4 NVMe (2 Slots: M2 2242 PCIe 4.0 x4 Slot/ M.2 2280 PCIe 4.0 x4 Slot)
8,Card đồ họa,"NVIDIA® GeForce RTX™ 4050 6GB GDDR6, Boost Clock 2370MHz, TGP 105W"
8,Màn hình,"15.6"" FHD (1920x1080) IPS 300nits Anti-glare, 100% sRGB, 144Hz, G-SYNC®"
8,Cổng kết nối,"3x USB-A (USB 5Gbps / USB 3.2 Gen 1)
1x USB-C® (USB 10Gbps / USB 3.2 Gen 2), with PD 140W and DisplayPort™ 1.4
1x HDMI® 2.1, up to 8K/60Hz
1x Headphone / microphone combo jack (3.5mm)
1x Ethernet (RJ-45)
1x Power connector"
8,Bàn phím,"4-Zone RGB Backlit, English"
8,Audio,"High Definition (HD) Audio, Realtek® ALC3287 codec"
8,Chuẩn Lan,100/1000M
8,Wifi + Bluetooth,"Wi-Fi 6 11ax, 2x2 + BT5.1"
8,Webcam,FHD 1080p with E-shutter
8,Hệ điều hành    ,Windows 11 Home
8,Pin,Integrated 60Wh (4 Cell)
8,Trọng lượng,2.4 kg
8,Màu sắc,Luna Grey
8,Chất liệu,"PC-ABS (Top), PC-ABS (Bottom)"
8,Kích thước    ,359.6 x 264.8 x 22.1-25.2 mm
9,CPU,"Intel® Core™ i7-13650HX Processor 2.6 GHz 24M  Cache, up to 4.9 GHz, 14 cores: 6 P-cores and 8 E-cores)"
9,RAM,"16GB (1x16GB) DDR5 4800MHz  (2x slots, up to 32GB)"
9,Ổ lưu trữ,"1TB PCIe® 4.0 NVMe™ M.2 SSD (2x slots, upto 2TB SSD)"
9,Card đồ họa,"NVIDIA® GeForce RTX™ 4050 Laptop GPU 6GB GDDR6 (194 AI TOPs)
ROG Boost: 2420MHz* at 140W (2370MHz Boost Clock+50MHz OC, 115W+25W Dynamic Boost)"
9,Màn hình,"16 inch QHD+ 16:10 (2560 x 1600, WQXGA) 240Hz 3ms, 100% DCI-P3, chống chói, G-Sync, đạt chuẩn Pantone, ROG Nebula Display"
9,Cổng giao tiếp,"1x RJ45 LAN port
1x Thunderbolt™ 4 support DisplayPort™
1x USB 3.2 Gen 2 Type-C support DisplayPort™ / power delivery / G-SYNC
2x USB 3.2 Gen 2 Type-A
1x HDMI 2.1 FRL
1x 3.5mm Combo Audio Jack"
9,Bàn phím,Backlit Chiclet Keyboard 4-Zone RGB
9,Audio,2-speaker system with Smart Amplifier Technology
9,Đọc thẻ nhớ,None
9,Kết nối có dây (LAN),10/100/1000 Mbps
9,Kết nối không dây,Wi-Fi 6E(802.11ax)
9,Bluetooth,Bluetooth 5.2 (Dual band) 2*2
9,Webcam,720P HD camera
9,Hệ điều hành,Windows 11 Home
9,Pin,4 Cell 90WHrs
9,Trọng lượng,2.5 kg
9,Màu sắc,Eclipse Gray
9,Kích thước,35.4 x 26.4 x 2.26 ~ 3.04 cm
10,CPU,"Intel® Core™ i9 Processor 14900HX 2.2 GHz (36MB Cache, up to 5.8 GHz, 24 cores, 32 Threads)"
10,RAM,32GB (2x16GB) DDR5 5600Mhz (2 khe cắm nâng cấp tối đa 32GB) 
10,Ổ lưu trữ,"1TB PCIe® 4.0 NVMe™ M.2 Performance SSD (2 khe, nâng cấp tối đa 2TB)"
10,Card đồ họa,"NVIDIA® GeForce RTX™ 4070 Laptop GPU 8GB GDDR6 (321 AI TOPs)
ROG Boost: 2225MHz* at 140W (2175MHz Boost Clock+50MHz OC, 115W+25W Dynamic Boost)"
10,Màn hình,"18"" QHD+ 16:10 (2560 x 1600, WQXGA), IPS-level, 240Hz 3ms, Anti-glare display, DCI-P3:100%, Pantone Validated, ROG Nebula Display"
10,Cổng giao tiếp,"1x Thunderbolt™ 4 support DisplayPort™
1x USB 3.2 Gen 2 Type-C support DisplayPort™ / power delivery / G-SYNC
2x USB 3.2 Gen 2 Type-A
1x RJ45 LAN port
1x HDMI 2.1 FRL
1x 3.5mm Combo Audio Jack"
10,Bàn phím,Backlit Chiclet Keyboard Per-Key RGB
10,Audio,"Smart Amp Technology
Dolby Atmos"
10,LAN,10/100/1000/2500 Mbps
10,Wifi,Wi-Fi 6E(802.11ax) (Triple band) 2*2
10,Bluetooth,Bluetooth® 5.3 Wireless Card
10,Webcam,720P HD Camera
10,Hệ điều hành,Windows 11 Home
10,Pin,"90WHrs, 4S1P, 4-cell Li-ion"
10,Trọng lượng,3.0 Kg
10,Màu sắc,Eclipse Gray
10,Kích thước,39.9 x 29.4 x 2.31 ~ 3.08 cm
11,CPU,"Intel® Core™ i9-14900HX 2.2 GHz (36MB Cache, up to 5.8 GHz, 24 cores, 32 Threads)"
11,RAM,"64GB (2x32GB) DDR5 5600MHz (2x SO-DIMM socket, up to 64GB SDRAM)"
11,Ổ Cứng,"2TB (2x1TB) PCIe® 4.0 NVMe™ M.2 Performance SSD (RAID 0) (2x slot SSD, nâng cấp tối đa 2TB/1 slot)"
11,Card đồ họa,"NVIDIA® GeForce RTX™ 4090 Laptop GPU 16GB GDDR6 (686 AI TOPs)
ROG Boost: 2090MHz* at 175W (2040MHz Boost Clock+50MHz OC, 150W+25W Dynamic Boost)"
11,Màn hình,"18"" 2.5K (2560 x 1600, WQXGA) 16:10, 240Hz 3ms, Mini LED, 1100nits, Anti-glare display, G-Sync, Pantone Validated, ROG Nebula HDR Display"
11,Cổng kết nối,"1x 3.5mm Combo Audio Jack
1x HDMI 2.1 FRL
2x USB 3.2 Gen 2 Type-A
1x USB 3.2 Gen 2 Type-C support DisplayPort™ / power delivery / G-SYNC
1x 2.5G LAN port
1x Thunderbolt™ 4 support DisplayPort™ / G-SYNC"
11,Bàn phím,Backlit Chiclet Keyboard Per-Key RGB
11,Audio,"Dolby Atmos, Hi-Res certification, Smart Amp Technology, AI noise-canceling technology"
11,Lan,10/100/1000/2500 Mbps
11,Wifi + Bluetooth,Wi-Fi 6E(802.11ax) (Triple band) 2*2 + Bluetooth® 5.3 Wireless Card
11,Webcam,720P HD camera
11,Hệ điều hành,No preinstalled OS
11,Pin,"90WHrs, 4S1P, 4-cell Li-ion"
11,Trọng lượng,3.10 Kg (6.83 lbs)
11,Màu sắc,Off Black
11,Kích thước,"39.9 x 29.4 x 2.31 ~ 3.08 cm (15.71"" x 11.57"" x 0.91"" ~ 1.21"")"
12,CPU,"Intel® Core™ i9-14900HX 2.2 GHz (36MB Cache, up to 5.8 GHz, 24 cores, 32 Threads)"
12,RAM,"32GB (2x16GB) DDR5 5600MHz (2x SO-DIMM socket, up to 64GB SDRAM)"
12,Ổ Cứng,"1TB (1x1TB) PCIe® 4.0 NVMe™ M.2 Performance SSD (2x slot SSD, nâng cấp tối đa 2TB/1 slot)"
12,Card đồ họa,"NVIDIA® GeForce RTX™ 4080 Laptop GPU 12GB GDDR6 (542 AI TOPs)
ROG Boost: 2090MHz* at 175W (2040MHz Boost Clock+50MHz OC, 150W+25W Dynamic Boost)"
12,Màn hình,"18"" 2.5K (2560 x 1600, WQXGA) 16:10, 240Hz 3ms, Mini LED, 1100nits, Anti-glare display, G-Sync, Pantone Validated, ROG Nebula HDR Display"
12,Cổng kết nối,"1x 3.5mm Combo Audio Jack
1x HDMI 2.1 FRL
2x USB 3.2 Gen 2 Type-A
1x USB 3.2 Gen 2 Type-C support DisplayPort™ / power delivery / G-SYNC
1x 2.5G LAN port
1x Thunderbolt™ 4 support DisplayPort™ / G-SYNC"
12,Bàn phím,Backlit Chiclet Keyboard Per-Key RGB
12,Audio,"Dolby Atmos, Hi-Res certification, Smart Amp Technology, AI noise-canceling technology"
12,Lan,10/100/1000/2500 Mbps
12,Wifi + Bluetooth,Wi-Fi 6E(802.11ax) (Triple band) 2*2 + Bluetooth® 5.3 Wireless Card
12,Webcam,720P HD camera
12,Hệ điều hành,No preinstalled OS
12,Pin,"90WHrs, 4S1P, 4-cell Li-ion"
12,Trọng lượng,3.10 Kg (6.83 lbs)
12,Màu sắc,Off Black
12,Kích thước,"39.9 x 29.4 x 2.31 ~ 3.08 cm (15.71"" x 11.57"" x 0.91"" ~ 1.21"")"
13,CPU,"Intel® Core™ i9 Processor 14900HX 2.2 GHz (36MB Cache, up to 5.8 GHz, 24 cores, 32 Threads)"
13,RAM,"32GB (2x16GB) DDR5 5600MHz  (2x slots, up to 32GB)"
13,Ổ lưu trữ,"1TB PCIe® 4.0 NVMe™ M.2 SSD (2x slots, upto 2TB SSD)"
13,Card đồ họa,"NVIDIA® GeForce RTX™ 4070 Laptop GPU 8GB GDDR6 (321 AI TOPs)
ROG Boost: 2225MHz* at 140W (2175MHz Boost Clock+50MHz OC, 115W+25W Dynamic Boost)"
13,Màn hình,"16 inch QHD+ 16:10 (2560 x 1600, WQXGA) 240Hz 3ms, 100% DCI-P3, chống chói, G-Sync, đạt chuẩn Pantone, ROG Nebula Display"
13,Cổng giao tiếp,"1x RJ45 LAN port
1x Thunderbolt™ 4 support DisplayPort™
1x USB 3.2 Gen 2 Type-C support DisplayPort™ / power delivery / G-SYNC
2x USB 3.2 Gen 2 Type-A
1x HDMI 2.1 FRL
1x 3.5mm Combo Audio Jack"
13,Bàn phím,Backlit Chiclet Keyboard Per-Key RGB
13,Audio,2-speaker system with Smart Amplifier Technology
13,Đọc thẻ nhớ,None
13,Kết nối có dây (LAN),10/100/1000 Mbps
13,Kết nối không dây,Wi-Fi 6E(802.11ax) (Triple band) 2*2
13,Bluetooth,Bluetooth® 5.3 Wireless
13,Webcam,720P HD camera
13,Hệ điều hành,Windows 11 Home
13,Pin,4 Cell 90WHrs
13,Trọng lượng,2.5 kg
13,Màu sắc,Eclipse Gray
13,Kích thước,35.4 x 26.4 x 2.26 ~ 3.04 cm
14,CPU,Intel Core i5-1335U 1.3GHz up to 4.6GHz 12MB
14,RAM,"16GB (2x8GB) DDR4 3200MHz (2x SO-DIMM socket, up to 32GB SDRAM)"
14,Ổ cứng,512GB NVMe PCIe Gen4 SSD (1 x slots M.2 NVMe PCIe Gen4)
14,Card đồ họa,Intel Iris Xe Graphics
14,Màn hình,"15.6"" FHD (1920 x 1080) IPS-Level, 60Hz, 45% NTSC, Thin Bezel, 65% sRGB"
14,Cổng giao tiếp,"1x Type-C (USB3.2 Gen2 / DisplayPort™/ Power Delivery 3.0)
3x Type-A USB3.2 Gen1
1x Micro SD Card Reader
1x HDMI™ (4K @ 30Hz)
1x RJ45
1x Mic-in/Headphone-out Combo Jack"
14,Bàn phím,Single Backlit Keyboard (White)
14,Audio,2x 2W Audio Speaker
14,LAN,Gigabit Ethernet
14,Wifi + Bluetooth,"802.11 ax Wi-Fi 6E, Bluetooth v5.3"
14,Webcam,HD type (30fps@720p)
14,Bảo mật,"Fingerprint Security, Discrete Trusted Platform Module(dTPM) 2.0, Firmware Trusted Platform Module(fTPM) 2.0, Webcam Shutter, Kensington Lock"
14,Pin,3 Cell 46.8 WHr
14,Trọng lượng,1.7 kg
14,Hệ điều hành,Windows 11 Home
14,Màu sắc,Urban Silver
14,Kích thước,358.9 x 235.9 x 19.9 mm
15,CPU,Intel Core i5-13420H 2.1GHz up to 4.6GHz 12MB
15,RAM,"16GB (2 x 8GB) DDR4 3200MHz (2x SO-DIMM socket, up to 64GB SDRAM)"
15,Ổ cứng,"512GB NVMe PCIe SSD Gen3x4 (Còn trống 1x 2.5"" SATA HDD slot)"
15,VGA,"NVIDIA® GeForce RTX™ 2050 4GB UUp to 1170MHz Boost Clock 45W Maximum Graphics Power with Dynamic Boost.
AI TOPs: 104 TOPs"
15,Màn hình,"15.6"" FHD (1920 x 1080), 144Hz, IPS-Level, 45% NTSC, 65% sRGB"
15,Cổng giao tiếp,"1x Type-C (USB3.2 Gen1 / DP)
3x Type-A USB3.2 Gen1
1x HDMI™ (4K @ 30Hz)
1x RJ45
1x Mic-in/Headphone-out Combo Jack"
15,Bàn phím,Single Backlit Keyboard (Blue)
15,Audio,2x 2W Speaker
15,Chuẩn LAN,Gigabit Ethernet
15,Chuẩn WIFI,802.11 ax Wi-Fi 6E
15,Bluetooth,v5.3
15,Webcam,HD type (30fps@720p)
15,Hệ điều hành,Windows 11 Home
15,Pin,3-Cell 52.4 Battery (Whr)
15,Trọng lượng,1.86 kg
15,Màu sắc,Cosmos Gray
15,Kích thước,359 x 254 x 21.7 mm
16,CPU,"Intel® Core™ Ultra 7 Processor 155H 1.4 GHz (24MB Cache, up to 4.8 GHz, 16 cores, 22 Threads); Intel® AI Boost NPU"
