product_id,spec_name,spec_value
1,CPU,"AMD Ryzen™ AI 9 HX 370 Processor 2.0GHz (36MB Cache, up to 5.1GHz, 12 cores, 24 Threads); AMD XDNA™ NPU up to 50TOPS"
1,RAM,32GB (16x2) Onboard LPDDR5X 7467MHz (Không nâng cấp được)
1,Ổ lưu trữ,"1TB PCIe® 4.0 NVMe™ M.2 SSD (2 slots, support M.2 2280 PCIe 4.0x4, nâng cấp tối đa 2TB)"
1,Card đồ họa,"NVIDIA® GeForce RTX™ 4070 Laptop GPU (321 AI TOPs)
ROG Boost: 1655MHz* at 105W (1605MHz Boost Clock+50MHz OC, 85W+20W Dynamic Boost)"
1,Màn hình,"16-inch 2.5K (2560 x 1600, WQXGA) 16:10 OLED, 240Hz, 0.2ms, 500 nits, 100% DCI-P3, Glossy display, G-Sync / Adaptive-Sync, ROG Nebula Display"
1,Cổng giao tiếp,"1x Type C USB 4 support DisplayPort™ / power delivery
1x USB 3.2 Gen 2 Type-C support DisplayPort™ / power delivery
2x USB 3.2 Gen 2 Type-A
1x card reader (SD Card) (SD Express 7.0)
1x HDMI 2.1 FRL
1x 3.5mm Combo Audio Jack"
1,Bàn phím,"Backlit Chiclet Keyboard 1-Zone RGB
With Copilot key"
1,Audio,"4-speaker (dual force woofer) system with Smart Amplifier Technology, 2 Tweeters"
1,Đọc thẻ nhớ,"Card reader (SD) (UHS-II, 312MB/s)"
1,LAN,N/A
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
2,CPU,Intel Core i5-1335U 1.3GHz up to 4.6GHz 12MB
2,RAM,"16GB (2x8GB) DDR4 3200MHz (2x SO-DIMM socket, up to 32GB SDRAM)"
2,Ổ cứng,512GB NVMe PCIe Gen4 SSD (1 x slots M.2 NVMe PCIe Gen4)
2,Card đồ họa,Intel Iris Xe Graphics
2,Màn hình,"15.6"" FHD (1920 x 1080) IPS-Level, 60Hz, 45% NTSC, Thin Bezel, 65% sRGB"
2,Cổng giao tiếp,"1x Type-C (USB3.2 Gen2 / DisplayPort™/ Power Delivery 3.0)
3x Type-A USB3.2 Gen1
1x Micro SD Card Reader
1x HDMI™ (4K @ 30Hz)
1x RJ45
1x Mic-in/Headphone-out Combo Jack"
2,Bàn phím,Single Backlit Keyboard (White)
2,Audio,2x 2W Audio Speaker
2,LAN,Gigabit Ethernet
2,Wifi + Bluetooth,"802.11 ax Wi-Fi 6E, Bluetooth v5.3"
2,Webcam,HD type (30fps@720p)
2,Bảo mật,"Fingerprint Security, Discrete Trusted Platform Module(dTPM) 2.0, Firmware Trusted Platform Module(fTPM) 2.0, Webcam Shutter, Kensington Lock"
2,Pin,3 Cell 46.8 WHr
2,,
2,,
2,,
2,,
3,CPU,Intel Core i5-13420H 2.1GHz up to 4.6GHz 12MB
3,RAM,"16GB (2 x 8GB) DDR4 3200MHz (2x SO-DIMM socket, up to 64GB SDRAM)"
3,Ổ cứng,"512GB NVMe PCIe SSD Gen3x4 (Còn trống 1x 2.5"" SATA HDD slot)"
3,VGA,"NVIDIA® GeForce RTX™ 2050 4GB UUp to 1170MHz Boost Clock 45W Maximum Graphics Power with Dynamic Boost.
AI TOPs: 104 TOPs"
3,Màn hình,"15.6"" FHD (1920 x 1080), 144Hz, IPS-Level, 45% NTSC, 65% sRGB"
3,Cổng giao tiếp,"1x Type-C (USB3.2 Gen1 / DP)
3x Type-A USB3.2 Gen1
1x HDMI™ (4K @ 30Hz)
1x RJ45
1x Mic-in/Headphone-out Combo Jack"
3,Bàn phím,Single Backlit Keyboard (Blue)
3,Audio,2x 2W Speaker
3,Chuẩn LAN,Gigabit Ethernet
3,Chuẩn WIFI,802.11 ax Wi-Fi 6E
3,Bluetooth,v5.3
3,Webcam,HD type (30fps@720p)
3,Hệ điều hành,Windows 11 Home
3,,
3,,
3,,
3,,
4,CPU,"Intel® Core™ Ultra 7 Processor 155H 1.4 GHz (24MB Cache, up to 4.8 GHz, 16 cores, 22 Threads); Intel® AI Boost NPU"
4,RAM,"32GB (16x2) DDR5 5600MHz (2x SO-DIMM socket, up to 32GB SDRAM)"
4,Ổ cứng,1TB NVMe PCIe Gen4x4 SSD (1 x slots M.2 NVMe PCIe Gen4)
4,Card đồ họa,"NVIDIA® GeForce RTX™ 4050 6GB GDDR6 powers advanced AI with 194 AI TOPS
Up to 1605MHz Boost Clock 45W Maximum Graphics Power with Dynamic Boost."
4,Màn hình,"14"" 2.8K (2880 x 1800), IPS-Level, 100% DCI-P3(Typical)"
4,Cổng giao tiếp,"1x Type-A USB3.2 Gen2
1x Type-C (USB3.2 Gen2 / DisplayPort™/ Power Delivery 3.0)
1x Thunderbolt™ 4 (DisplayPort™/ Power Delivery 3.1)
1x Mic-in/Headphone-out Combo Jac
1x HDMI™ 2.1 (8K @ 60Hz / 4K @ 120Hz)"
4,Bàn phím,Single Backlit Keyboard (White) with Copilot Key
4,Audio,"2x 2W Audio Speaker
Hi-Res Audio Ready, DTS Audio Processing
Spatial Array Microphone (3 Mic)"
4,LAN,Gigabit Ethernet
4,Wifi + Bluetooth,"Intel® Killer™ Wi-Fi 7 BE1750, Bluetooth v5.4"
4,Webcam,"IR FHD type (30fps@1080p) with HDR
3D Noise Reduction+ (3DNR+)"
4,,
4,,
4,,
4,,
4,,
4,,
11,CPU,"Intel® Core™ Ultra 7 Processor 258V 32GB 1.8 GHz (12MB Cache, up to 4.8 GHz, 8 cores, 8 Threads); Intel® AI Boost NPU"
11,RAM,32GB LPDDR5 onboard (Không nâng cấp)
11,Ổ cứng,1TB M.2 NVMe™ PCIe® 4.0 SSD
11,Card màn hình,"Intel® Arc™ Graphics
Intel AI Boost NPU lên đến 47 TOPs, tổng hiệu năng AI lên đến 120 TOPS"
11,Màn hình,"14"" 3K (2880 x 1800) OLED 16:10 120Hz, 500nits HDR, 100% DCI-P3, PANTONE Validated, Glossy display, 70% less harmful blue light, TÜV Rheinland-certified"
11,Cổng kết nối,"1x USB 3.2 Gen 2 Type-A (tốc độ dữ liệu lên đến 10Gbps)
2x Thunderbolt™ 4 với hỗ trợ hiển thị / cấp nguồn (tốc độ dữ liệu lên đến 40Gbps)
1x HDMI 2.1 TMDS
1x 3.5mm Combo Audio Jack"
11,Bàn phím,"Bàn phím đèn nền Chiclet
Phím Copilot"
11,Webcam,"FHD, Camera IR hỗ trợ Windows Hello"
11,Audio,Harman/Kardon (Premium)
11,Kết nối không dây,Wi-Fi 7(802.11be) (Tri-band)2*2 + Bluetooth® 5.4 Wireless Card
11,Hệ điều hành,Windows 11 Home + Office Home & Student 2021
11,Pin,"72WHrs, 2S2P, 4-cell Li-ion"
11,,
11,,
11,,
11,,
12,CPU,"AMD Ryzen™ 7 6800H (3.2 GHz upto 4.7 GHz, 8 nhân 16 luồng, L2 Cache: 4MB, L3 Cache: 16MB)"
12,Ram,"16GB (2x8GB) DDR5 4800MHz (2x SO-DIMM socket, up to 32GB SDRAM)"
12,Ổ cứng,"512GB PCIe NVMe SED SSD (Còn trống 1 khe SSD M.2 PCIE, nâng cấp tối đa 2TB)"
12,Card đồ họa,NVIDIA® GeForce RTX™ 3060 with 6 GB of dedicated GDDR6 VRAM
12,Màn hình,"15.6"" FHD (1920 x 1080) IPS 165Hz SlimBezel, 100% sRGB, Acer ComfyViewTM LED-backlit TFT LCD"
12,Cổng giao tiếp," 2 x USB 3.2 Gen 2 ports with one featuring power-off USB charging
1 x USB 3.2 Gen 1 port
1 x USB Type-C™ port: USB 3.2 Gen 2 (up to 10 Gbps)
• USB 3.2 Gen 2 (up to 10 Gbps)
• DisplayPort over USB-C
• USB charging 5 V; 3 A
• DC-in port 20 V; 100 W
1 x 3.5 mm headphone/speaker jack, supporting headsets with built-in
microphone
1 x DC-in jack for AC adapter
1 x Ethernet (RJ-45) port
1 x HDMI®2.1 port with HDCP support
(Notes: HDMI2.1: Support 4K 120Hz HDR, 8K 60Hz HDR, VRR, G-sync
compatible external monitor)"
12,,
12,,
12,,
12,,
12,,
12,,
12,,
12,,
12,,
12,,
12,,
12,,
12,,
13,CPU,"Intel® Core™ i7-14650HX (3.70 GHz upto 5.20 GHz, 16 nhân 24 luồng, 30 MB Intel® Smart Cache)"
13,RAM,"16GB (1x16GB) DDR5 5600MHz (2x SO-DIMM socket, up to 96GB SDRAM)"
13,Ổ cứng,"1TB PCIe NVMe SED SSD (Còn trống 1 khe SSD M.2 PCIE Gen 4, nâng cấp tối đa 2TB SSD PCIe Gen 4)"
13,VGA,"NVIDIA® GeForce RTX™ 4060 with 8 GB of dedicated GDDR6 VRAM, supporting 3072 NVIDIA® CUDA® Cores"
13,Màn hình,"16"" WQXGA (2560 x 1600), 500 nits, 100% DCI-P3, 240Hz, Anti-glare, Acer ComfyView™ LED-backlit TFT LCD, Nvidia Advanced Optimus capable"
13,Cổng giao tiếp,"2x USB Type-C™ port (supporting USB 3.2 Gen 2 (up to 10 Gbps); DisplayPort over USB-C; Thunderbolt™ 4; USB charging 5 V - 3 A, DC-in port 20 V - 65 W)
1x USB 3.2 Gen 1
1x USB 3.2 Gen 2
1x USB 3.2 Gen 2 featuring power off USB charging
1x HDMI® 2.1 port with HDCP support
1x 3.5 mm headphone/speaker jack, supporting headsets with built-in microphone
1x Ethernet (RJ-45) port
1x DC-in jack for AC adapter
1x MicroSD™ Card reader"
13,Bàn phím,"Full size, RGB 4 Zone"
13,Audio,DTS X:Ultra Audio
13,,
13,,
13,,
13,,
13,,
13,,
13,,
13,,
13,,
13,,
13,,
14,CPU,"Intel® Core™ i7-13620H (3.6GHz up to 4.9GHz, 10 Cores 16 Threads, 24 MB Intel® Smart Cache)"
14,Ram,"16GB (2x8GB) DDR5 5200MHz (2x SO-DIMM socket, up to 32GB SDRAM)"
14,Ổ cứng,"512GB PCIe NVMe SED SSD (Còn trống 1 khe SSD M.2 PCIE, nâng cấp tối đa 2TB)"
14,Card đồ họa,NVIDIA® GeForce RTX™ 4050 with 6GB of dedicated GDDR6 VRAM
14,Màn hình,"15.6"" FHD (1920 x 1080) IPS, 300nits,180Hz, sRGB 100%, ""Acer ComfyView™ LED-backlit TFT LCD
 Wide viewing angle up to 170 degree 
 Ultra-slim design"
14,Cổng giao tiếp,"1 x USB Type-C™ port supporting:
• USB 3.2 Gen 2 (up to 10 Gbps)
• DisplayPort over USB-C
• Thunderbolt™ 4
• USB charging 5 V; 3 A
• DC-in port 20 V; 65 W
3 x USB Standard-A ports, supporting:
• One port for USB 3.2 Gen 1 featuring power off USB charging
• Two ports for USB 3.2 Gen 1
1 x HDMI® 2.1 port with HDCP support
1 x 3.5 mm headphone/speaker jack, supporting headsets with built-in
microphone
1 x Ethernet (RJ-45) port
1 x DC-in jack for AC adapter"
14,,
14,,
14,,
14,,
14,,
14,,
14,,
14,,
14,,
14,,
14,,
14,,
15,CPU,"Intel® Core™ i7-13620H (3.6GHz up to 4.9GHz, 10 Cores 16 Threads, 24 MB Intel® Smart Cache)"
15,Ram,"16GB (1x16GB) DDR5 5200MHz (2x SO-DIMM socket, up to 32GB SDRAM)"
15,Ổ cứng,"512GB PCIe NVMe SED SSD (Còn trống 1 khe SSD M.2 PCIE, nâng cấp tối đa 2TB)"
15,Card đồ họa,NVIDIA® GeForce RTX™ 3050 with 6GB of dedicated GDDR6 VRAM
15,Màn hình,"15.6"" FHD (1920 x 1080) IPS, 300nits,180Hz, sRGB 100%, ""Acer ComfyView™ LED-backlit TFT LCD
 Wide viewing angle up to 170 degree 
 Ultra-slim design"
15,Cổng giao tiếp,"1 x USB Type-C™ port supporting:
• USB 3.2 Gen 2 (up to 10 Gbps)
• DisplayPort over USB-C
• Thunderbolt™ 4
• USB charging 5 V; 3 A
• DC-in port 20 V; 65 W
3 x USB Standard-A ports, supporting:
• One port for USB 3.2 Gen 1 featuring power off USB charging
• Two ports for USB 3.2 Gen 1
1 x HDMI® 2.1 port with HDCP support
1 x 3.5 mm headphone/speaker jack, supporting headsets with built-in
microphone
1 x Ethernet (RJ-45) port
1 x DC-in jack for AC adapter"
15,,
15,,
15,,
15,,
15,,
15,,
15,,
15,,
15,,
15,,
15,,
15,,
16,CPU,"Intel® Core™ i7-14700HX (1.5GHz upto 5.5GHz, 20 cores 28 threads, 33 MB Intel® Smart Cache)"
16,RAM,"16GB (2 x 8GB) DDR5 5600MHz (2x SO-DIMM socket, up to 96GB SDRAM)"
16,Ổ cứng,"1TB NVMe PCIe SSD Gen4x4 (còn trống 1 slot, nâng cấp tối đa 2TB)"
16,VGA,"NVIDIA® GeForce RTX™ 4050 Laptop GPU 6GB GDDR6
Up to 2355MHz Boost Clock 105W Maximum Graphics Power with Dynamic Boost."
16,Màn hình,"16inch 16:10 FHD+(1920 x 1200) IPS-level, 165Hz, 100% sRGB"
16,Cổng giao tiếp,"1x Type-C (USB3.2 Gen2 / DP) with PD charging
3x Type-A USB3.2 Gen1
1x HDMI™ 2.1 (8K @ 60Hz / 4K @ 120Hz)
1x RJ45"
16,Bàn phím,24-Zone RGB Gaming Keyboard
16,Audio,2x 2W Speaker
16,Chuẩn LAN,Gigabit Ethernet
16,Chuẩn WIFI,802.11 ax Wi-Fi 6E
16,Bluetooth,v5.3
16,Webcam,"HD type (30fps@720p)
3D Noise Reduction (3DNR)"
16,,
16,,
16,,
16,,
16,,
17,CPU,Intel Core i7-13700H 2.4GHz up to 5.0GHz 24MB
17,RAM,"32GB (2x16GB) DDR5 5200MHz (2x SO-DIMM socket, up to 32GB SDRAM)"
17,Ổ cứng,512GB PCIe® Gen4 NVMe™ TLC M.2 SSD (1 slot)
17,VGA,NVIDIA® GeForce RTX™ 3050 6GB GDDR6
17,Màn hình,"16.1"" FHD (1920 x 1080), 144 Hz, IPS, micro-edge, anti-glare, 250 nits, 45% NTSC"
17,Cổng giao tiếp,"1x USB Type-C® 5Gbps signaling rate (USB Power Delivery, DisplayPort™ 1.4, HP Sleep and Charge)
1x USB Type-A 5Gbps signaling rate (HP Sleep and Charge)
2x USB Type-A 5Gbps signaling rate
1x HDMI 2.1
1x RJ-45
1x AC smart pin
1x headphone/microphone combo"
17,Bàn phím,"Full-size, 1-zone RGB backlit, moonstone grey keyboard with numeric keypad"
17,Audio,Audio by B&O; Dual speakers; HP Audio Boost
17,Chuẩn LAN,10/100/1000 GbE LAN
17,Chuẩn WIFI,MediaTek Wi-Fi 6E MT7922 (2x2)
17,Bluetooth,v5.3
17,Webcam,HP True Vision 1080p FHD camera with temporal noise reduction and integrated dual array digital microphones
17,,
17,,
17,,
17,,
17,,
18,CPU,"AMD Ryzen™ 5 7640HS ( 4.3 GHz - 5.0 GHz / 16MB / 6 nhân, 12 luồng )"
18,RAM,"32GB (2x16GB) DDR5 5600MHz (2x SO-DIMM socket, up to 32GB SDRAM)"
18,Ổ cứng,512GB PCIe® Gen4 NVMe™ TLC M.2 SSD (1 slot)
18,VGA,GeForce RTX™ 4060 8GB GDDR6 
18,Màn hình,"16.1"" FHD (1920 x 1080), 144 Hz, IPS, micro-edge, anti-glare, 250 nits, 45% NTSC"
18,Cổng giao tiếp,"1x USB Type-C® 5Gbps signaling rate (USB Power Delivery, DisplayPort™ 1.4, HP Sleep and Charge)
1x USB Type-A 5Gbps signaling rate (HP Sleep and Charge)
2x USB Type-A 5Gbps signaling rate
1x HDMI 2.1
1x RJ-45
1x AC smart pin
1x headphone/microphone combo"
18,Bàn phím,"Full-size, 1-zone RGB backlit, moonstone grey keyboard with numeric keypad"
18,Audio,Audio by B&O; Dual speakers; HP Audio Boost
18,Chuẩn LAN,10/100/1000 GbE LAN
18,Chuẩn WIFI,MediaTek Wi-Fi 6E MT7922 (2x2)
18,Bluetooth,v5.3
18,,
18,,
18,,
18,,
18,,
18,,
19,CPU,"Intel® Core™ Ultra 7 Processor 155H, 16 nhân 22 luồng, upto 3.8Ghz - 4.8Ghz, 24 MB Intel® Smart Cache"
19,RAM,32GB (1*32GB) LPDDR5X 7467Mhz (Không nâng cấp)
19,Ổ cứng,2TB PCIe NVMe SED SSD (nâng cấp tối đa 2TB SSD)
19,VGA,"NVIDIA® GeForce RTX™ 4060 with 8 GB of dedicated GDDR6 VRAM, supporting 3072 NVIDIA® CUDA® Cores"
19,Màn hình,"16"" 2.5K (2560x1600) 500nits, 100% DCI-P3, 240Hz, Acer ComfyView™ LED-backlit, Nvidia Advanced Optimus capable, 16:10 aspect ratio, Wide viewing angle up to 170 degrees"
19,Cổng giao tiếp,"2x USB Type-C™ ports USB Type-C™ port, supporting: 
 • USB 3.2 Gen 2x2 (up to 20 Gbps) 
 • DisplayPort over USB-C 
 • Thunderbolt™ 4 
 • USB charging 5 V; 3 A 
 • DC-in port 20 V; 65 W 
 USB Type-C™ port supporting: 
 • USB 3.2 Gen 2 (up to 10 Gbps) 
 • DisplayPort over USB-C 
 • USB charging 5 V; 3 A 
 • DC-in port 20 V; 65 W 
2x USB Standard-A ports, supporting: 
 • One port for USB 3.2 Gen 2 
 • One port for USB 3.2 Gen 2 featuring power off USB charging microSD™ Card reader 
1x HDMI® 2.1 port with HDCP support 
1x DC-in jack for AC adapter 
1x 3.5 mm headphone/speaker jack, supporting headsets with built-in microphone"
19,,
19,,
19,,
19,,
19,,
19,,
19,,
19,,
19,,
19,,
19,,
19,,
19,,
20,CPU,"Intel® Core™ Ultra 7 155H, 1.40 GHz upto 4.80 GHz, 16 nhân 22 luồng, 24MB Intel® Smart Cache"
20,RAM,32GB LPDDR5 Onboard 6400Mhz
20,Ổ cứng,1TB PCIe NVMe SED SSD (Không nâng cấp được)
20,Card đồ họa,NVIDIA® GeForce RTX™ 4070 with 8 GB GDDR6 VRAM
20,Màn hình,"14.5"" 2.8K WQXGA+ (2880x1800) OLED, 120Hz, 400 nits. DCI-P3 100%, Adobe100%"
20,Cổng giao tiếp,"2x USB Type-C™, supporting:
 • USB4® 40Gbps
 • DisplayPort over USB-C
 • Thunderbolt™ 4
 • USB charging 5 V; 3 A
 • DC-in port 20 V; 100 W
2x USB Standard A, supporting:
 • One port for USB 3.2 Gen 1
 • One port for USB 3.2 Gen 2 featuring power off USB charging
1x HDMI® 2.1 port with HDCP support
1x microSD™ Card reader
1x 3.5 mm headphone/speaker jack, supporting headsets with built-in
 microphone"""
20,Audio,"DTS® X:Ultra Audio, featuring optimized Bass, Loudness, Speaker"
20,Bàn phím,"Có LED trắng, bảo mật vân tay"
20,Bảo mật,"Firmware Trusted Platform Module (TPM) solution 
BIOS user, supervisor passwords"
20,,
20,,
20,,
20,,
20,,
20,,
20,,
20,,
20,,
21,CPU,"Intel® Core™ Ultra 7 155H, 1.40 GHz upto 4.80 GHz, 16 nhân 22 luồng, 24MB Intel® Smart Cache"
21,RAM,32GB LPDDR5 Onboard 6400Mhz
21,Ổ cứng,1TB PCIe NVMe SED SSD (Không nâng cấp được)
21,Card đồ họa,NVIDIA® GeForce RTX™ 4060 with 8 GB GDDR6
21,Màn hình,"14.5"" 2.8K WQXGA+ (2880x1800) OLED, 120Hz, 400 nits. DCI-P3 100%, Adobe100%"
